,id,lang,text,user_id,screen_name,name,statuses_count,retweet_count,source_url,source_url_cat
62,1265647470878457858,en,"RT @aeromobix: Automateddriving  #india
#Security!
#Memes #math #science #engineering #cybersecurity #artificialintelligence #technology #m…",1190726565073522694,LlnuxBot,LinuxBot,256851,21,https://techdox.nz,https://techdox.nz
63,1265647425982775296,en,"RT @aeromobix: Automateddriving  #india
#Security!
#Memes #math #science #engineering #cybersecurity #artificialintelligence #technology #m…",878581678121172992,aeromobix,Aeromobix Systems Pvt ltd,11372,21,https://mobile.twitter.com,https://mobile.twitter.com
64,1265646344603082754,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",845635834510479361,Suraphel_Diriba,Suraphel Diriba,1327,50,https://mobile.twitter.com,https://mobile.twitter.com
65,1265646243960827904,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",1127829883013361665,xaelbot,xael bot,414224,50,https://yathinbabu.github.io,https://yathinbabu.github.io
66,1265646227317821446,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",1229091405152256001,redianbot,Ready Dev,111873,50,https://go-shopal.herokuapp.com,https://go-shopal.herokuapp.com
67,1265646179871862784,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",1260062769543434240,nlognbot,nlognbot,28781,50,https://nlogn.in,https://nlogn.in
68,1265646170111479808,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",1261355507203203072,LearnWithHarry,Harry,7533,50,https://notarealwebsite.nope,https://notarealwebsite.nope
69,1265645772508327937,en,RT @gp_pulipaka: Top Ten Cybersecurity Books. #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #RStats #TensorFl…,1242050244285624320,ndroid_techk,Ndroid Technology,4132,80,http://ndroid.online,http://ndroid.online
70,1265645479519346695,en,RT @gp_pulipaka: 18 Best PyTorch Books of All Time. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…,1261355507203203072,LearnWithHarry,Harry,7533,69,https://notarealwebsite.nope,https://notarealwebsite.nope
71,1265644712506998785,en,RT @gp_pulipaka: 18 Best PyTorch Books of All Time. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…,1242050244285624320,ndroid_techk,Ndroid Technology,4132,69,http://ndroid.online,http://ndroid.online
72,1265644603513995264,en,"RT @PinakiLaskar: The Boy is a,
1. Programmer
2. Engineer
3. Coder
What is your opinion.

#Robotics #machinelearning #Python #Java #Javascr…",1143528514550927361,femtech_,FemTech_🖥👩🏽‍💻,561013,54,https://rike.dev,https://rike.dev
73,1265644542255984640,en,"RT @PinakiLaskar: The Boy is a,
1. Programmer
2. Engineer
3. Coder
What is your opinion.

#Robotics #machinelearning #Python #Java #Javascr…",1242050244285624320,ndroid_techk,Ndroid Technology,4132,54,http://ndroid.online,http://ndroid.online
74,1265644006513541121,en,"RT @FARHAN_RABBANI: Keyboard shortcuts 

#Robots #Robotics #AI #BigData #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #react…",108248850,epuujee,Purevdorj Enkhjargal,6477,36,https://twitter.com/epuujee,https://twitter.com/epuujee
75,1265643927018733570,en,"RT @dayus4heaven: Build a simple Neural Network in 9 lines of #Python #code
https://t.co/9is51fHFvR
#WebDev #BigData #Analytics #DataScienc…",1027458519430131712,DanWils42696605,Dan Wilson,38132,65,https://about.twitter.com/products/tweetdeck,https://about.twitter.com/products/tweetdeck
76,1265643923487305728,en,"RT @FARHAN_RABBANI: Keyboard shortcuts 

#Robots #Robotics #AI #BigData #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #react…",1174982905728249856,CoDailychalleng,Coding DailyChallenge,9803,36,https://donow.in,https://donow.in
77,1265643857640714251,en,"RT @dayus4heaven: Build a simple Neural Network in 9 lines of #Python #code
https://t.co/9is51fHFvR
#WebDev #BigData #Analytics #DataScienc…",1261355507203203072,LearnWithHarry,Harry,7533,65,https://notarealwebsite.nope,https://notarealwebsite.nope
78,1265643610344525825,en,RT @Deep_In_Depth: How to Build a Successful Data Science Workflow https://t.co/9Awh7P4QDN #DL #AI #ML #DeepLearning #NeuralNetworks  #Arti…,1261355507203203072,LearnWithHarry,Harry,7533,18,https://notarealwebsite.nope,https://notarealwebsite.nope
79,1265642589471961091,en,"RT @dayus4heaven: Build a simple Neural Network in 9 lines of #Python #code
https://t.co/9is51fHFvR
#WebDev #BigData #Analytics #DataScienc…",1242050244285624320,ndroid_techk,Ndroid Technology,4132,65,http://ndroid.online,http://ndroid.online
80,1265642272340623360,en,"RT @FARHAN_RABBANI: Keyboard shortcuts 

#Robots #Robotics #AI #BigData #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #react…",1190726565073522694,LlnuxBot,LinuxBot,256851,36,https://techdox.nz,https://techdox.nz
81,1265642036650217472,en,"RT @FARHAN_RABBANI: Keyboard shortcuts 

#Robots #Robotics #AI #BigData #Analytics #DataScience #rstats #IoT #TensorFlow #javascript #react…",930871517860319232,thomashilbig2,Thomas Hilbig 2.0,84052,36,https://www.thomashilbig.com/,https://www.thomashilbig.com/
82,1265638909947437059,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",1190726565073522694,LlnuxBot,LinuxBot,256851,50,https://techdox.nz,https://techdox.nz
83,1265638902154616832,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",885513434569355265,Taieb_Bot,JSBot,446657,50,https://github.com/AlFalahTaieb,https://github.com/AlFalahTaieb
84,1265638889831661572,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",955709459065659392,WebSecurityIT,WebSecurityIT,259348,50,https://yourxss.pro/,https://yourxss.pro/
85,1265638883779207169,en,"RT @dayus4heaven: Ember.js Cheat Sheet for your use.
#WebDev #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #R…",1242050244285624320,ndroid_techk,Ndroid Technology,4132,50,http://ndroid.online,http://ndroid.online
